species001	Plasmodium falciparum	Plasmodium falciparum
species002	C. guilliermondii	Candida guilliermondii
species002	Candida guilliermondii	Candida guilliermondii
species004	T. melanosporum	Tuber melanosporum
species004	Tuber melanosporum	Tuber melanosporum
species005	Aspergillus nidulans	Aspergillus nidulans
species006	Aspergillus nidulans	Aspergillus nidulans
species007	D. derouxi	Dysteria derouxi
species007	Dysteria legumen	Dysteria legumen
species007	Dysteria proraefrons	Dysteria proraefrons
species007	Mirodysteria decora	Mirodysteria decora
species008	Geleia simplex	Geleia simplex
species008	Geleia sinica	Geleia sinica
species008	K. flavus	Kentrophoros flavus
species008	K. gracilis	Kentrophoros gracilis
species008	Kentrophoros flavus	Kentrophoros flavus
species008	Kentrophoros gracilis	Kentrophoros gracilis
species008	Kentrophoros species	Kentrophoros species
species011	Neisseria gonorrhoeae	Neisseria gonorrhoeae
species011	Neisseria meningitidis	Neisseria meningitidis
species013	Aspergillus fumigatus	Aspergillus fumigatus
species013	Candida albicans	Candida albicans
species015	Picea abies	Picea abies
species016	Leuciscus leuciscus	Leuciscus leuciscus
species016	T. polycolpus	Tracheliastes polycolpus
species016	Tracheliastes polycolpus	Tracheliastes polycolpus
species018	Solanum lycopersicum	Solanum lycopersicum
species019	Dunaliella tertiolecta	Dunaliella tertiolecta
species020	Pelargonium x hortorum	Pelargonium ⨉hortorum
species022	Arabidopsis thaliana	Arabidopsis thaliana
species023	Lolium perenne	Lolium perenne
species024	Cotterillia bromelicola	Cotterillia bromelicola
species024	Tillandsia heterophylla	Tillandsia heterophylla
species025	S. litura	Spodoptera litura
species025	Spodoptera litura	Spodoptera litura
species026	Rana limnocharis	Rana limnocharis
species027	Oramoeba fumarolia	Oramoeba fumarolia
species027	Stachyamoeba sp.	Stachyamoeba sp.
species027	Vrihiamoeba italica	Vrihiamoeba italica
species028	C. albicans	Candida albicans
species028	Candida albicans	Candida albicans
species028	Saccharomyces cerevisiae	Saccharomyces cerevisiae
species033	Blastomyces dermatitidis	Blastomyces dermatitidis
species033	Chaetomium globosum	Chaetomium globosum
species034	C. neoformans	Cryptococcus neoformans
species034	Cryptococcus neoformans	Cryptococcus neoformans
species034	Saccharomyces cerevisiae	Saccharomyces cerevisiae
species034	Ustilago maydis	Ustilago maydis
species036	Bythotrephes longimanus	Bythotrephes longimanus
species036	Holopedium gibberum	Holopedium gibberum
species037	Quercus robur	Quercus robur
species040	Diabrotica virgifera	Diabrotica virgifera
species040	S. littoralis	Spodoptera littoralis
species040	Spodoptera littoralis	Spodoptera littoralis
species040	Zea mays	Zea mays
species041	A. nidulans	Aspergillus nidulans
species041	Aspergillus nidulans	Aspergillus nidulans
species041	N. crassa	Neurospora crassa
species041	Neurospora crassa	Neurospora crassa
species042	A. galaxii	Acanthocephalus galaxii
species042	Acanthocephalus galaxii	Acanthocephalus galaxii
species042	Galaxias anomalus	Galaxias anomalus
species042	Salmo trutta	Salmo trutta
species043	P. circumflexum	Plasmodium circumflexum
species043	Plasmodium relictum	Plasmodium relictum
species044	Coereba flaveola	Coereba flaveola
species044	Haemoproteus spp.	Haemoproteus spp.
species044	Loxigilla barbadensis	Loxigilla barbadensis
species044	Loxigilla noctis	Loxigilla noctis
species044	Loxigilla spp.	Loxigilla spp.
species044	Plasmodium spp.	Plasmodium spp.
species044	Tiaris bicolor	Tiaris bicolor
species045	Acyrthosiphon pisum	Acyrthosiphon pisum
species045	Ni. lugens	Nilaparvata lugens
species045	Nilaparvata lugens	Nilaparvata lugens
species045	P. maidis	Peregrinus maidis
species045	Peregrinus maidis	Peregrinus maidis
species046	M. arctica	Megaphorura arctica
species046	Megaphorura arctica	Megaphorura arctica
species047	B. mori	Bombyx mori
species047	Bombyx mori	Bombyx mori
species047	T. ni	Trichoplusia ni
species047	Trichoplusia ni	Trichoplusia ni
species048	Tetranychus urticae	Tetranychus urticae
species049	E. crassipes	Eichhornia crassipes
species049	Eichhornia crassipes	Eichhornia crassipes
species053	Sula nebouxii	Sula nebouxii
species054	Amnibacterium kyonggiense	Amnibacterium kyonggiense
species054	Labedella gwakjiensis	Labedella gwakjiensis
species054	Leifsonia ginsengi	Leifsonia ginsengi
species054	Microterricola viridarii	Microterricola viridarii
species055	Methanobacterium ferruginis	Methanobacterium ferruginis
species055	Methanobacterium petrolearium	Methanobacterium petrolearium
species055	Methanobacterium subterraneum	Methanobacterium subterraneum
species056	Jiangella alba	Jiangella alba
species056	Jiangella alkaliphila	Jiangella alkaliphila
species056	Jiangella gansuensis	Jiangella gansuensis
species056	Jiangella muralis	Jiangella muralis
species056	Jiangella species	Jiangella species
species057	Beutenbergia cavernae	Beutenbergia cavernae
species057	Miniimonas arenae	Miniimonas arenae
species057	Salana multivorans	Salana multivorans
species057	Serinibacter salmoneus	Serinibacter salmoneus
species058	D. hansenii	Debaryomyces hansenii
species058	Debaryomyces hansenii	Debaryomyces hansenii
species059	Carex scabrifolia	Carex scabrifolia
species059	N. pyridinolyticus	Nocardioides pyridinolyticus
species059	Nocardioides aquiterrae	Nocardioides aquiterrae
species059	Nocardioides caricicola	Nocardioides caricicola
species059	Nocardioides dokdonensis	Nocardioides dokdonensis
species059	Nocardioides hankookensis	Nocardioides hankookensis
species059	Nocardioides pyridinolyticus	Nocardioides pyridinolyticus
species060	S. cellobiosiphila	Spirochaeta cellobiosiphila
species060	S. isovalerica	Spirochaeta isovalerica
species060	Spirochaeta litoralis	Spirochaeta litoralis
species060	Spirochaeta perfilievii	Spirochaeta perfilievii
species061	Caloranaerobacter azorensis	Caloranaerobacter azorensis
species061	Clostridiisalibacter paucivorans	Clostridiisalibacter paucivorans
species061	Sporosalibacterium faouarense	Sporosalibacterium faouarense
species061	Thermohalobacter berrensis	Thermohalobacter berrensis
species062	Bacillus subtilis	Bacillus subtilis
species062	Candida albicans	Candida albicans
species062	Escherichia coli	Escherichia coli
species062	Penicillium citrinum	Penicillium citrinum
species062	Pseudomonas aeruginosa	Pseudomonas aeruginosa
species062	S. morookaense	Streptomyces morookaense
species062	Streptomyces lacticiproducens	Streptomyces lacticiproducens
species062	Streptomyces lavenduligriseus	Streptomyces lavenduligriseus
species062	Streptomyces morookaense	Streptomyces morookaense
species063	Candida albicans	Candida albicans
species063	Candida glabrata	Candida glabrata
species063	Candida krusei	Candida krusei
species063	Rhodotorula species	Rhodotorula species
species063	Trichosporon species	Trichosporon species
species066	C. mopane	Colophospermum mopane
species066	Colophospermum mopane	Colophospermum mopane
species067	Alligator mississippiensis	Alligator mississippiensis
species068	Rhabdomys pumilio	Rhabdomys pumilio
species069	Escherichia coli	Escherichia coli
species071	S. aureus	Staphylococcus aureus
species071	Staphylococcus aureus	Staphylococcus aureus
species074	C. neoformans	Cryptococcus neoformans
species074	Cryptococcus neoformans	Cryptococcus neoformans
species074	Saccharomyces cerevisiae	Saccharomyces cerevisiae
species075	Triticum durum	Triticum durum
species076	P. c. stanleyana	Puma concolor subsp. stanleyana
species076	Puma concolor coryi	Puma concolor subsp. coryi
species077	Bacillus thuringiensis var. israelensis	Bacillus thuringiensis var. israelensis
species077	M. domestica	Musca domestica
species077	Musca domestica	Musca domestica
species078	F. graminearum	Fusarium graminearum
species078	F. oxysporum	Fusarium oxysporum
species078	F. verticillioides	Fusarium verticillioides
species078	Fusarium verticillioides	Fusarium verticillioides
species079	Phaseolus vulgaris	Phaseolus vulgaris
species080	Helianthus annuus	Helianthus annuus
species082	Eimeria falciformis	Eimeria falciformis
species082	Eimeria nieschulzi	Eimeria nieschulzi
species082	Eimeria species	Eimeria species
species084	Salmo trutta	Salmo trutta
species084	Salvelinus alpines	Salvelinus alpines
species088	C. neoformans	Cryptococcus neoformans
species088	Cryptococcus neoformans	Cryptococcus neoformans
species088	Saccharomyces cerevisiae	Saccharomyces cerevisiae
species088	Ustilago maydis	Ustilago maydis
species089	Phytophthora sojae	Phytophthora sojae
species090	Conotrachelus nenuphar	Conotrachelus nenuphar
species090	Diabrotica virgifera virgifera	Diabrotica virgifera subsp. virgifera
species090	Leptinotarsa decemlineata	Leptinotarsa decemlineata
species091	Bacillus thuringiensis	Bacillus thuringiensis
species091	C. tremulae	Chrysomela tremulae
species091	Chrysomela tremulae	Chrysomela tremulae
species092	S. singularis	Sahlbergella singularis
species092	Sahlbergella singularis	Sahlbergella singularis
species092	Theobroma cacao	Theobroma cacao
species093	S. marcescens	Serratia marcescens
species093	Serratia marcescens	Serratia marcescens
species094	Arabidopsis thaliana	Arabidopsis thaliana
species095	Notiomystis cincta	Notiomystis cincta
species096	Aedes aegypti	Aedes aegypti
species097	S. zeamais	Sitophilus zeamais
species097	Sitophilus zeamais	Sitophilus zeamais
species098	A. fumigatus	Aspergillus fumigatus
species098	Aspergillus fumigatus	Aspergillus fumigatus
species100	Thamnophis elegans	Thamnophis elegans
species101	A. nidulans	Aspergillus nidulans
species101	Aspergillus nidulans	Aspergillus nidulans
species102	Aspergillus fumigatus	Aspergillus fumigatus
species102	Botryotinia fuckeliana	Botryotinia fuckeliana
species102	Chaetomium globosum	Chaetomium globosum
species102	U. maydis	Ustilago maydis
species102	Ustilago maydis	Ustilago maydis
species103	Borrelia burgdorferi	Borrelia burgdorferi
species103	Peromyscus leucopus	Peromyscus leucopus
species104	M. oryzae	Magnaporthe oryzae
species104	Magnaporthe oryzae	Magnaporthe oryzae
species105	Glomus intraradices	Glomus intraradices
species106	A. fumigatus	Aspergillus fumigatus
species106	Aspergillus fumigatus	Aspergillus fumigatus
species107	Lanius collurio	Lanius collurio
species108	Escherichia coli	Escherichia coli
species109	N. meningitidis	Neisseria meningitidis
species109	Neisseria meningitidis	Neisseria meningitidis
species110	Burkholderia cenocepacia	Burkholderia cenocepacia
species110	Rhizoctonia solani	Rhizoctonia solani
species111	Aeromonas hydrophila	Aeromonas hydrophila
species112	M. smegmatis	Mycobacterium smegmatis
species112	M. tuberculosis	Mycobacterium tuberculosis
species112	Mycobacterium tuberculosis	Mycobacterium tuberculosis
species113	Leucena leucocephala	Leucena leucocephala
species113	R. mongolense	Rhizobium mongolense
species113	Rhizobium mongolense	Rhizobium mongolense
species113	Rhizobium sp.	Rhizobium sp.
species113	Sinorhizobium medicae	Sinorhizobium medicae
species113	Sinorhizobium meliloti	Sinorhizobium meliloti
species114	B. amyloliquefaciens	Bacillus amyloliquefaciens
species114	Bacillus amyloliquefaciens	Bacillus amyloliquefaciens
species115	B. subtilis	Bacillus subtilis
species115	Bacillus subtilis	Bacillus subtilis
species116	C. difficile	Clostridium difficile
species116	Clostridium difficile	Clostridium difficile
species117	B. anthracis	Bacillus anthracis
species117	Bacillus anthracis	Bacillus anthracis
species118	B. anthracis	Bacillus anthracis
species118	Bacillus anthracis	Bacillus anthracis
species120	P. fluorescens	Pseudomonas fluorescens
species120	P. syringae	Pseudomonas syringae
species120	Pseudomonas fluorescens	Pseudomonas fluorescens
species120	Pseudomonas syringae	Pseudomonas syringae
species121	Helicobacter pylori	Helicobacter pylori
species122	P. gingivalis	Porphyromonas gingivalis
species122	Porphyromonas gingivalis	Porphyromonas gingivalis
species123	Synechocystis sp.	Synechocystis sp.
species124	D. papillatum	Diplonema papillatum
species124	Diplonema papillatum	Diplonema papillatum
species126	P. kevei	Peridiniopsis kevei
species126	P. niei	Peridiniopsis niei
species126	P. penardii	Peridiniopsis penardii
species126	Peridiniopsis penardii var. robusta	Peridiniopsis penardii var. robusta
species126	Peridiniopsis spp.	Peridiniopsis spp.
species127	C. ciliata	Corythucha ciliata
species127	Corythucha ciliata	Corythucha ciliata
species127	Platanus x acerifolia	Platanus ⨉acerifolia
species128	C. flavipes	Cotesia flavipes
species128	Cotesia sesamiae	Cotesia sesamiae
species128	Cotesia species	Cotesia species
species128	Cyperus spp.	Cyperus spp.
species128	Panicum spp.	Panicum spp.
species128	Pennisetum spp.	Pennisetum spp.
species128	Sorghum bicolor	Sorghum bicolor
species128	Sorghum spp.	Sorghum spp.
species128	Zea mays	Zea mays
species129	C. hominivorax	Cochliomyia hominivorax
species129	Cochliomyia hominivorax	Cochliomyia hominivorax
species133	Micrometopion nutans	Micrometopion nutans
species133	Minimassisteria diva	Minimassisteria diva
species133	Nudifila producta	Nudifila producta
species133	Ovulinata parva	Ovulinata parva
species133	Peregrinia clavideferens	Peregrinia clavideferens
species133	Tremula longifila	Tremula longifila
species134	Chlorella minutissima	Chlorella minutissima
species135	Tetrahymena canadensis	Tetrahymena canadensis
species135	Tetrahymena hegewischi	Tetrahymena hegewischi
species135	Tetrahymena pyriformis	Tetrahymena pyriformis
species135	Tetrahymena rostrata	Tetrahymena rostrata
species135	Tetrahymena thermophila	Tetrahymena thermophila
species135	Tetrahymena tropicalis	Tetrahymena tropicalis
species136	Difflugia spp.	Difflugia spp.
species138	Aspergillus fumigatus	Aspergillus fumigatus
species140	N. pumilio	Nothofagus pumilio
species140	Nothofagus pumilio	Nothofagus pumilio
species141	U. maydis	Ustilago maydis
species141	Ustilago maydis	Ustilago maydis
species141	Zea mays	Zea mays
species143	Liriomyza huidobrensis	Liriomyza huidobrensis
species143	Opius dissitus	Opius dissitus
species145	Antirrhinum majus	Antirrhinum majus
species146	S. officinarum	Saccharum officinarum
species146	S. spontaneum	Saccharum spontaneum
species146	Saccharum spp.	Saccharum spp.
species147	Omegastrombidium elegans	Omegastrombidium elegans
species147	Paratontonia gracillima	Paratontonia gracillima
species147	S. montagnesi	Strombidium montagnesi
species147	S. wilberti	Strombidium wilberti
species147	Strombidium constrictum	Strombidium constrictum
species148	A. thaliana	Arabidopsis thaliana
species148	Arabidopsis thaliana	Arabidopsis thaliana
species149	Oryza sativa	Oryza sativa
species150	T. melanosporum	Tuber melanosporum
species150	Tuber melanosporum	Tuber melanosporum
species151	Tuber melanosporum	Tuber melanosporum
species152	Botrytis cinerea	Botrytis cinerea
species155	B. fuscus	Bathygobius fuscus
species155	Bathygobius fuscus	Bathygobius fuscus
species155	C. gulosus	Chaenogobius gulosus
species155	Chaenogobius annularis	Chaenogobius annularis
species155	Chaenogobius species	Chaenogobius species
species156	C. velia	Chromera velia
species156	Chromera velia	Chromera velia
species159	Escherichia coli	Escherichia coli
species159	Riemerella anatipestifer	Riemerella anatipestifer
species160	Accipiter nisus	Accipiter nisus
species160	Tringa totanus	Tringa totanus
species161	L. niger	Lasius niger
species161	Lasius niger	Lasius niger
species161	M. rubra	Myrmica rubra
species161	Myrmica rubra	Myrmica rubra
species162	Cuculus canorus	Cuculus canorus
species162	Turdus spp.	Turdus spp.
species163	Aspergillus fumigatus	Aspergillus fumigatus
species164	A. fumigatus	Aspergillus fumigatus
species164	Aspergillus fumigatus	Aspergillus fumigatus
species165	N. crassa	Neurospora crassa
species165	Neurospora crassa	Neurospora crassa
species165	Schizosaccharomyces pombe	Schizosaccharomyces pombe
species166	A. fumigatus	Aspergillus fumigatus
species166	Aspergillus fumigatus	Aspergillus fumigatus
species167	Escherichia coli	Escherichia coli
species167	Musca domestica	Musca domestica
species167	Sarcophaga crassipalpis	Sarcophaga crassipalpis
species169	E. caudatum	Entodinium caudatum
species169	E. ecaudatum	Epidinium ecaudatum
species169	E. maggii	Eudiplodinium maggii
species169	Entodinium caudatum	Entodinium caudatum
species169	Epidinium ecaudatum	Epidinium ecaudatum
species169	Eudiplodinium maggii	Eudiplodinium maggii
species170	Equus caballus	Equus caballus
species172	B. bassiana	Beauveria bassiana
species172	B. licheniformis	Bacillus licheniformis
species172	B. megaterium	Bacillus megaterium
species172	B. mycoides	Bacillus mycoides
species172	B. pumilus	Bacillus pumilus
species172	B. subtilis	Bacillus subtilis
species172	Bacillus thuringiensis	Bacillus thuringiensis
species172	Beauveria bassiana	Beauveria bassiana
species172	D. kuscheli	Delphacodes kuscheli
species172	D. maidis	Delphacodes maidis
species172	Dalbulus maidis	Dalbulus maidis
species172	Delphacodes kuscheli	Delphacodes kuscheli
species175	Solenopsis invicta	Solenopsis invicta
species176	Gurania sp.	Gurania sp.
species176	H. erato	Heliconius erato
species176	Heliconius erato	Heliconius erato
species176	Psiguria sp.	Psiguria sp.
species176	Psychotria sp.	Psychotria sp.
species177	M. catharinae	Myrmelachista catharinae
species177	Myrmelachista catharinae	Myrmelachista catharinae
species179	P. tricornutum	Phaeodactylum tricornutum
species179	Phaeodactylum tricornutum	Phaeodactylum tricornutum
species180	Almophrya bivacuolata	Almophrya bivacuolata
species180	Eudrilophrya complanata	Eudrilophrya complanata
species180	Metaracoelophrya intermedia	Metaracoelophrya intermedia
species180	Metaracoelophrya sp.	Metaracoelophrya sp.
species180	Metaradiophrya sp.	Metaradiophrya sp.
species180	Njinella prolifera	Njinella prolifera
species180	Paraclausilocola constricta	Paraclausilocola constricta
species180	Paraclausilocola elongata	Paraclausilocola elongata
species182	P. thompsoni	Parasterkiella thompsoni
species182	Parasterkiella thompsoni	Parasterkiella thompsoni
species182	Sterkiella thompsoni	Sterkiella thompsoni
species185	Aspergillus nidulans	Aspergillus nidulans
species186	A. terreus	Aspergillus terreus
species186	Aspergillus niger	Aspergillus niger
species186	Aspergillus species	Aspergillus species
species186	Aspergillus terreus	Aspergillus terreus
species186	Escherichia coli	Escherichia coli
species191	Cinclus cinclus	Cinclus cinclus
species195	A. nidulans	Aspergillus nidulans
species195	Aspergillus nidulans	Aspergillus nidulans
species196	F. graminearum	Fusarium graminearum
species196	Fusarium graminearum	Fusarium graminearum
species196	Fusarium species	Fusarium species
species197	Blumeria graminis	Blumeria graminis
species201	Nicotiana benthamiana	Nicotiana benthamiana
species206	Bombyx mori	Bombyx mori
species206	Escherichia coli	Escherichia coli
species207	Apis mellifera	Apis mellifera
species207	Varroa destructor	Varroa destructor
species208	Riptortus pedestris	Riptortus pedestris
species209	Perkinsus marinus	Perkinsus marinus
species213	A. flavus	Aspergillus flavus
species213	A. oryzae	Aspergillus oryzae
species213	Aspergillus flavus	Aspergillus flavus
species213	Aspergillus fumigatus	Aspergillus fumigatus
species213	Aspergillus nidulans	Aspergillus nidulans
species213	Aspergillus oryzae	Aspergillus oryzae
species214	Aedes aegypti	Aedes aegypti
species214	Orseolia oryzae	Orseolia oryzae
species215	E. sinensis	Eupolyphaga sinensis
species215	Eupolyphaga sinensis	Eupolyphaga sinensis
species216	Polysphondylium pallidum	Polysphondylium pallidum
species217	C. adspersus	Cylindrocopturus adspersus
species217	Cylindrocopturus adspersus	Cylindrocopturus adspersus
species217	H. annuus	Helianthus annuus
species217	H. nuttallii	Helianthus nuttallii
species217	H. pauciflorus	Helianthus pauciflorus
species217	H. petiolaris	Helianthus petiolaris
species217	Helianthus annuus	Helianthus annuus
species218	H. vitripennis	Homalodisca vitripennis
species218	Homalodisca vitripennis	Homalodisca vitripennis
species218	Xylella fastidiosa	Xylella fastidiosa
species219	Bemisia argentifolii	Bemisia argentifolii
species219	Eretmocerus eremicus	Eretmocerus eremicus
species219	Glomus etunicatum	Glomus etunicatum
species219	Nicotiana rustica	Nicotiana rustica
species220	G. molesta	Grapholita molesta
species220	Grapholita molesta	Grapholita molesta
species220	Prunus persica	Prunus persica
species220	Trichogramma minutum	Trichogramma minutum
species221	M. micromalus	Malus micromalus
species221	Malus baccata	Malus baccata
species221	Spilocaea pomi	Spilocaea pomi
species221	V. inaequalis	Venturia inaequalis
species221	Venturia inaequalis	Venturia inaequalis
species222	B. bassiana	Beauveria bassiana
species222	Beauveria bassiana	Beauveria bassiana
species222	Galleria mellonella	Galleria mellonella
species222	M. brunneum	Metarhizium brunneum
species222	Metarhizium brunneum	Metarhizium brunneum
